dt,AverageTemperature,AverageTemperatureUncertainty,Country
1759-04-01,5.739999999999998,6.502999999999999,Austria
1759-05-01,10511,3419,Austria
1759-06-01,15208,6062,Austria
1759-07-01,17668,4842,Austria
1759-08-01,15894,7194,Austria
1759-09-01,12.47,6448,Austria
1759-10-01,7556,4887,Austria
1759-11-01,-1892,6.417000000000002,Austria
1759-12-01,-5.582000000000001,8499,Austria
1760-01-01,-5369,4601,Austria
1760-02-01,-3735,2.7710000000000004,Austria
1760-03-01,-0.23,9696,Austria
1760-04-01,7.205999999999999,6619,Austria
1760-05-01,11433,4237,Austria
1760-06-01,15.010000000000002,2881,Austria
1760-07-01,16346,4204,Austria
1760-08-01,15577,7834,Austria
1760-09-01,12.91,5516,Austria
1760-10-01,6934,5205,Austria
1760-11-01,1121,3189,Austria
1760-12-01,-0.6489999999999998,3.2260000000000004,Austria
1761-01-01,-5.37,6.8370000000000015,Austria
1761-02-01,-0.7789999999999999,3.99,Austria
1761-03-01,3.49,1812,Austria
1761-04-01,5346,4628,Austria
1761-05-01,12963,5.372000000000001,Austria
1761-06-01,16347,2.39,Austria
1761-07-01,17079,6.72,Austria
1761-08-01,16754,3.4530000000000003,Austria
1761-09-01,13.55,4205,Austria
1761-10-01,5152,5055,Austria
1761-11-01,0.3340000000000001,2408,Austria
1761-12-01,-5.994999999999999,2003,Austria
1762-01-01,-2.2700000000000005,2.45,Austria
1762-02-01,-2272,8.818999999999997,Austria
1762-03-01,-1.2969999999999997,5199,Austria
1762-04-01,8424,3994,Austria
1762-05-01,12.17,6886,Austria
1762-06-01,15.392999999999999,6.8420000000000005,Austria
1762-07-01,17368,3019,Austria
1762-08-01,14.39,3065,Austria
1762-09-01,11661,8565,Austria
1762-10-01,4779,4261,Austria
1762-11-01,633,2245,Austria
1762-12-01,-6.0120000000000005,6624,Austria
1763-01-01,-7608,6509,Austria
1763-02-01,-0.019000000000000128,4812,Austria
1763-03-01,0.03400000000000025,7648,Austria
1763-04-01,5529,2121,Austria
